"filename", "language", "Shell Script", "Python", "pip requirements", "YAML", "comment", "blank", "total"
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/__init__.py", "Python", 0, 1, 0, 0, 0, 1, 2
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/__init__.py", "Python", 0, 1, 0, 0, 0, 1, 2
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/configs/__init__.py", "Python", 0, 1, 0, 0, 0, 1, 2
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/configs/config-dev.yml", "YAML", 0, 0, 0, 33, 0, 9, 42
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/configs/config-prod.yml", "YAML", 0, 0, 0, 34, 0, 9, 43
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/configs/config-qa.yml", "YAML", 0, 0, 0, 33, 0, 9, 42
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/configs/config.yml", "YAML", 0, 0, 0, 36, 0, 9, 45
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/configs/config_loader.py", "Python", 0, 17, 0, 0, 2, 8, 27
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/configs/copy-content-config.yml", "YAML", 0, 0, 0, 0, 0, 1, 1
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/configs/log-config.yml", "YAML", 0, 0, 0, 28, 0, 4, 32
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/lib/__init__.py", "Python", 0, 1, 0, 0, 0, 1, 2
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/lib/adapters/mysql_adapter.py", "Python", 0, 108, 0, 0, 3, 37, 148
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/lib/adapters/pinpoint_adapter.py", "Python", 0, 44, 0, 0, 21, 13, 78
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/lib/adapters/sendgrid_adapter.py", "Python", 0, 42, 0, 0, 0, 11, 53
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/lib/adapters/sns_adapter.py", "Python", 0, 28, 0, 0, 0, 10, 38
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/lib/adapters/sqs_adapter.py", "Python", 0, 33, 0, 0, 0, 10, 43
